"Ad name","Ad set name",Day,"Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (RUB)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","CPC (all)","CTR (all)","Clicks (all)","Ad ID","Campaign ID","Reporting starts","Reporting ends"
5,"[KZ]_ July",2019-07-31,not_delivering,18954,18990,1.0018993352327,"Kundeemner (skjema)",14,151.635,2122.89,,,111.78988942,160,13.2680625,0.84254870984729,8.62963415,1.29541864,246,23843516223030549,23843516223260549,2019-07-31,2019-07-31
5,"[KZ]_ July",2019-07-29,not_delivering,15981,15981,1,"Kundeemner (skjema)",25,82.6516,2066.29,,,129.29666479,137,15.08240876,0.85726800575684,9.30761261,1.38914962,222,23843516223030549,23843516223260549,2019-07-29,2019-07-29
5,"[KZ]_ July",2019-07-30,not_delivering,15574,15574,1,"Kundeemner (skjema)",21,86.068571428571,1807.44,,,116.0549634,169,10.69491124,1.085141903172,6.95169231,1.66944908,260,23843516223030549,23843516223260549,2019-07-30,2019-07-30
5,"[KZ]_ July",2019-07-25,not_delivering,10381,10471,1.0086696850014,"Kundeemner (skjema)",18,97.894444444444,1762.1,,,168.28383153,123,14.32601626,1.1746729061217,9.78944444,1.71903352,180,23843516223030549,23843516223260549,2019-07-25,2019-07-25
5,[RU]_RF,2019-07-31,not_delivering,8984,9033,1.0054541406946,"Kundeemner (skjema)",18,161.21777777778,2901.92,,,321.25761098,113,25.68070796,1.2509686704306,16.30292135,1.97055242,178,23843516223180549,23843516223260549,2019-07-31,2019-07-31
3,"[UA]_ July",2019-07-30,not_delivering,7084,7462,1.0533596837945,"Kundeemner (skjema)",14,124.13714285714,1737.92,,,232.90270705,65,26.73723077,0.87108013937282,11.35895425,2.05038864,153,23843516222980549,23843516223260549,2019-07-30,2019-07-30
5,[RU]_RF,2019-07-30,not_delivering,6646,6824,1.0267830273849,"Kundeemner (skjema)",17,140.55764705882,2389.48,,,350.15826495,101,23.65821782,1.4800703399766,15.31717949,2.28604924,156,23843516223180549,23843516223260549,2019-07-30,2019-07-30
5,[RU]_RF,2019-07-25,not_delivering,6585,6585,1,"Kundeemner (skjema)",5,624.706,3123.53,,,474.34016705,69,45.26855072,1.0478359908884,28.92157407,1.64009112,108,23843516223180549,23843516223260549,2019-07-25,2019-07-25
3,"[UA]_ July",2019-07-31,not_delivering,6358,6596,1.0374331550802,"Kundeemner (skjema)",18,114.25222222222,2056.54,,,311.78593087,54,38.08407407,0.81867798665858,14.68957143,2.12249848,140,23843516222980549,23843516223260549,2019-07-31,2019-07-31
3,"[UA]_ July",2019-07-29,not_delivering,4606,4783,1.0384281372123,"Kundeemner (skjema)",4,281.215,1124.86,,,235.1787581,28,40.17357143,0.58540664854694,13.55253012,1.73531257,83,23843516222980549,23843516223260549,2019-07-29,2019-07-29
2,"[KZ]_ July",2019-07-25,not_delivering,3797,3822,1.0065841453779,"Kundeemner (skjema)",,,381.8,,,99.89534275,9,42.42222222,0.23547880690738,18.18095238,0.54945055,21,23843516223060549,23843516223260549,2019-07-25,2019-07-25
2,[RU]_RF,2019-07-25,not_delivering,2645,2645,1,"Kundeemner (skjema)",1,909.1,909.1,,,343.70510397,18,50.50555556,0.68052930056711,43.29047619,0.79395085,21,23843516223240549,23843516223260549,2019-07-25,2019-07-25
2,"[UA]_ July",2019-07-31,not_delivering,2615,2637,1.008413001912,"Kundeemner (skjema)",5,102.634,513.17,,,194.60371634,23,22.31173913,0.87220326128176,16.0365625,1.21350019,32,23843516223010549,23843516223260549,2019-07-31,2019-07-31
1,"[UA]_ July",2019-07-30,not_delivering,2361,2400,1.0165184243964,"Kundeemner (skjema)",1,574.53,574.53,,,239.3875,20,28.7265,0.83333333333333,22.09730769,1.08333333,26,23843516223150549,23843516223260549,2019-07-30,2019-07-30
