"Ad name","Ad set name",Day,"Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (RUB)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","CPC (all)","CTR (all)","Clicks (all)","Ad ID","Campaign ID","Reporting starts","Reporting ends"
5,[EN]_18countries,2019-07-31,not_delivering,542,564,1.0405904059041,"Leads (form)",,,140.02,,,248.26241135,3,46.67333333,0.53191489361702,20.00285714,1.24113475,7,23843429940910549,23843429940900549,2019-07-31,2019-07-31
1,[EN]_18countries,2019-07-31,not_delivering,3915,4297,1.0975734355045,"Leads (form)",5,324.596,1622.98,,,377.70072143,22,73.77181818,0.51198510588783,26.60622951,1.41959507,61,23843429940920549,23843429940900549,2019-07-31,2019-07-31
2,[EN]_18countries,2019-07-31,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-31,2019-07-31
6,[EN]_18countries,2019-07-31,rejected,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940890549,23843429940900549,2019-07-31,2019-07-31
3,[EN]_18countries,2019-07-31,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-31,2019-07-31
4,[EN]_18countries,2019-07-31,not_delivering,823,870,1.0571081409478,"Leads (form)",1,287.8,287.8,,,330.8045977,1,287.8,0.11494252873563,23.98333333,1.37931034,12,23843429940930549,23843429940900549,2019-07-31,2019-07-31
1,[EN]_18countries,2019-07-30,not_delivering,3924,4293,1.0940366972477,"Leads (form)",7,177.84,1244.88,,,289.97903564,16,77.805,0.37269974376893,21.46344828,1.35103657,58,23843429940920549,23843429940900549,2019-07-30,2019-07-30
4,[EN]_18countries,2019-07-30,not_delivering,2261,2354,1.0411322423706,"Leads (form)",,,549.24,,,233.3220051,6,91.54,0.25488530161427,34.3275,0.67969414,16,23843429940930549,23843429940900549,2019-07-30,2019-07-30
5,[EN]_18countries,2019-07-30,not_delivering,464,483,1.0409482758621,"Leads (form)",,,97.81,,,202.50517598,2,48.905,0.41407867494824,16.30166667,1.24223602,6,23843429940910549,23843429940900549,2019-07-30,2019-07-30
6,[EN]_18countries,2019-07-30,rejected,3973,4045,1.0181223256985,"Leads (form)",2,463.68,927.36,,,229.26081582,20,46.368,0.49443757725587,24.40421053,0.9394314,38,23843429940890549,23843429940900549,2019-07-30,2019-07-30
2,[EN]_18countries,2019-07-30,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-30,2019-07-30
3,[EN]_18countries,2019-07-30,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-30,2019-07-30
1,[EN]_18countries,2019-07-29,not_delivering,1681,1895,1.1273051754908,"Leads (form)",4,253.355,1013.42,,,534.78627968,12,84.45166667,0.63324538258575,23.56790698,2.26912929,43,23843429940920549,23843429940900549,2019-07-29,2019-07-29
2,[EN]_18countries,2019-07-29,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-29,2019-07-29
