"Ad name","Ad set name","Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (RUB)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","CPC (all)","CTR (all)","Clicks (all)","Ad ID","Campaign ID","Reporting starts","Reporting ends"
3,[UA]_June,not_delivering,27104,43108,1.59046635183,"Leads (form)",125,136.7676,17095.95,,,396.58416071,468,36.52980769,1.0856453558504,15.87367688,2.49837617,1077,23843401176430549,23843401146580549,2019-07-01,2019-07-31
5,"[RU]_June — Копия",not_delivering,31240,32737,1.0479193341869,"Leads (form)",44,263.24954545455,11582.98,,,353.81922595,392,29.54841837,1.1974218773864,18.71240711,1.89082689,619,23843472390210549,23843401146580549,2019-07-01,2019-07-31
5,"[RU]_June — Копия",not_delivering,34536,37122,1.0748783877693,"Leads (form)",52,218.31423076923,11352.34,,,305.81164808,371,30.59929919,0.99940735951727,18.61039344,1.64323043,610,23843472390180549,23843401146580549,2019-07-01,2019-07-31
5,"[RU]_June — Копия",not_delivering,28056,29071,1.0361776447106,"Leads (form)",49,217.9806122449,10681.05,,,367.41254171,363,29.42438017,1.2486670565168,18.7058669,1.96415672,571,23843472390200549,23843401146580549,2019-07-01,2019-07-31
5,"[RU]_June — Копия",not_delivering,22344,23779,1.0642230576441,"Leads (form)",34,301.05941176471,10236.02,,,430.46469574,288,35.54173611,1.2111526977585,20.59561368,2.09007948,497,23843472390190549,23843401146580549,2019-07-01,2019-07-31
2,[KZ]_June,not_delivering,62735,96235,1.533992189368,"Leads (form)",74,116.84216216216,8646.32,,,89.84589806,360,24.01755556,0.37408427287369,12.00877778,0.74816855,720,23843401176410549,23843401146580549,2019-07-01,2019-07-31
2,[UA]_June,not_delivering,29048,38392,1.321674469843,"Leads (form)",52,153.03076923077,7957.6,,,207.27234841,307,25.92052117,0.79964575953324,15.57260274,1.33100646,511,23843401176390549,23843401146580549,2019-07-01,2019-07-31
5,[RU]_June,not_delivering,20212,20341,1.0063823471205,"Leads (form)",26,245.77846153846,6390.24,,,314.15564623,205,31.17190244,1.0078167248415,17.70149584,1.77474067,361,23843401165710549,23843401146580549,2019-07-01,2019-07-31
3,[RU]_June,not_delivering,4433,5027,1.1339950372208,"Leads (form)",17,329.40529411765,5599.89,,,1113.96260195,64,87.49828125,1.2731251243286,56.56454545,1.96936543,99,23843401165730549,23843401146580549,2019-07-01,2019-07-31
3,[KZ]_June,not_delivering,15864,21996,1.3865355521936,"Leads (form)",25,208.2772,5206.93,,,236.72167667,119,43.75571429,0.54100745590107,28.60950549,0.82742317,182,23843401176400549,23843401146580549,2019-07-01,2019-07-31
