"Ad name","Ad set name",Day,"Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (RUB)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","CPC (all)","CTR (all)","Clicks (all)","Ad ID","Campaign ID","Reporting starts","Reporting ends"
5,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390190549,23843401146580549,2019-07-31,2019-07-31
2,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390070549,23843401146580549,2019-07-31,2019-07-31
1,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390230549,23843401146580549,2019-07-31,2019-07-31
2,[UA]_June,2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176390549,23843401146580549,2019-07-31,2019-07-31
1,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390020549,23843401146580549,2019-07-31,2019-07-31
3,[UA]_June,2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176430549,23843401146580549,2019-07-31,2019-07-31
4,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390140549,23843401146580549,2019-07-31,2019-07-31
3,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390090549,23843401146580549,2019-07-31,2019-07-31
1,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390240549,23843401146580549,2019-07-31,2019-07-31
5,[UA]_June,2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176360549,23843401146580549,2019-07-31,2019-07-31
3,[KZ]_June,2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176400549,23843401146580549,2019-07-31,2019-07-31
5,[KZ]_June,2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176350549,23843401146580549,2019-07-31,2019-07-31
4,[KZ]_June,2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176370549,23843401146580549,2019-07-31,2019-07-31
4,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390170549,23843401146580549,2019-07-31,2019-07-31
5,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390200549,23843401146580549,2019-07-31,2019-07-31
1,[UA]_June,2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176450549,23843401146580549,2019-07-31,2019-07-31
2,[KZ]_June,2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176410549,23843401146580549,2019-07-31,2019-07-31
5,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390210549,23843401146580549,2019-07-31,2019-07-31
5,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390180549,23843401146580549,2019-07-31,2019-07-31
2,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390100549,23843401146580549,2019-07-31,2019-07-31
3,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390110549,23843401146580549,2019-07-31,2019-07-31
4,[UA]_June,2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176340549,23843401146580549,2019-07-31,2019-07-31
2,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390080549,23843401146580549,2019-07-31,2019-07-31
3,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390130549,23843401146580549,2019-07-31,2019-07-31
2,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390060549,23843401146580549,2019-07-31,2019-07-31
1,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390220549,23843401146580549,2019-07-31,2019-07-31
4,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390160549,23843401146580549,2019-07-31,2019-07-31
1,[KZ]_June,2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176380549,23843401146580549,2019-07-31,2019-07-31
4,[RU]_June,2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401165720549,23843401146580549,2019-07-31,2019-07-31
5,[RU]_June,2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401165710549,23843401146580549,2019-07-31,2019-07-31
2,[RU]_June,2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401165740549,23843401146580549,2019-07-31,2019-07-31
3,[RU]_June,2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401165730549,23843401146580549,2019-07-31,2019-07-31
1,[RU]_June,2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401163330549,23843401146580549,2019-07-31,2019-07-31
4,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390150549,23843401146580549,2019-07-31,2019-07-31
3,"[RU]_June — Копия",2019-07-31,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390120549,23843401146580549,2019-07-31,2019-07-31
3,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390120549,23843401146580549,2019-07-30,2019-07-30
2,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390080549,23843401146580549,2019-07-30,2019-07-30
4,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390140549,23843401146580549,2019-07-30,2019-07-30
4,[KZ]_June,2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176370549,23843401146580549,2019-07-30,2019-07-30
1,[UA]_June,2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176450549,23843401146580549,2019-07-30,2019-07-30
1,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390230549,23843401146580549,2019-07-30,2019-07-30
5,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390190549,23843401146580549,2019-07-30,2019-07-30
2,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390060549,23843401146580549,2019-07-30,2019-07-30
1,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390020549,23843401146580549,2019-07-30,2019-07-30
5,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390210549,23843401146580549,2019-07-30,2019-07-30
3,[UA]_June,2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176430549,23843401146580549,2019-07-30,2019-07-30
1,[RU]_June,2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401163330549,23843401146580549,2019-07-30,2019-07-30
3,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390090549,23843401146580549,2019-07-30,2019-07-30
3,[RU]_June,2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401165730549,23843401146580549,2019-07-30,2019-07-30
4,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390150549,23843401146580549,2019-07-30,2019-07-30
5,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390180549,23843401146580549,2019-07-30,2019-07-30
4,[UA]_June,2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176340549,23843401146580549,2019-07-30,2019-07-30
3,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390130549,23843401146580549,2019-07-30,2019-07-30
2,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390100549,23843401146580549,2019-07-30,2019-07-30
5,[RU]_June,2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401165710549,23843401146580549,2019-07-30,2019-07-30
1,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390240549,23843401146580549,2019-07-30,2019-07-30
3,[KZ]_June,2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176400549,23843401146580549,2019-07-30,2019-07-30
1,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390220549,23843401146580549,2019-07-30,2019-07-30
2,[RU]_June,2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401165740549,23843401146580549,2019-07-30,2019-07-30
2,[KZ]_June,2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176410549,23843401146580549,2019-07-30,2019-07-30
2,[UA]_June,2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176390549,23843401146580549,2019-07-30,2019-07-30
1,[KZ]_June,2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176380549,23843401146580549,2019-07-30,2019-07-30
4,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390160549,23843401146580549,2019-07-30,2019-07-30
5,[UA]_June,2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176360549,23843401146580549,2019-07-30,2019-07-30
4,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390170549,23843401146580549,2019-07-30,2019-07-30
2,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390070549,23843401146580549,2019-07-30,2019-07-30
5,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390200549,23843401146580549,2019-07-30,2019-07-30
5,[KZ]_June,2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176350549,23843401146580549,2019-07-30,2019-07-30
3,"[RU]_June — Копия",2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390110549,23843401146580549,2019-07-30,2019-07-30
4,[RU]_June,2019-07-30,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401165720549,23843401146580549,2019-07-30,2019-07-30
4,[UA]_June,2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176340549,23843401146580549,2019-07-29,2019-07-29
3,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390110549,23843401146580549,2019-07-29,2019-07-29
3,[RU]_June,2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401165730549,23843401146580549,2019-07-29,2019-07-29
4,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390170549,23843401146580549,2019-07-29,2019-07-29
2,[UA]_June,2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176390549,23843401146580549,2019-07-29,2019-07-29
1,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390020549,23843401146580549,2019-07-29,2019-07-29
5,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390210549,23843401146580549,2019-07-29,2019-07-29
3,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390120549,23843401146580549,2019-07-29,2019-07-29
1,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390220549,23843401146580549,2019-07-29,2019-07-29
2,[KZ]_June,2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176410549,23843401146580549,2019-07-29,2019-07-29
1,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390230549,23843401146580549,2019-07-29,2019-07-29
2,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390080549,23843401146580549,2019-07-29,2019-07-29
5,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390190549,23843401146580549,2019-07-29,2019-07-29
4,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390160549,23843401146580549,2019-07-29,2019-07-29
1,[UA]_June,2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176450549,23843401146580549,2019-07-29,2019-07-29
4,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390140549,23843401146580549,2019-07-29,2019-07-29
1,[KZ]_June,2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176380549,23843401146580549,2019-07-29,2019-07-29
4,[RU]_June,2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401165720549,23843401146580549,2019-07-29,2019-07-29
1,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390240549,23843401146580549,2019-07-29,2019-07-29
2,[RU]_June,2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401165740549,23843401146580549,2019-07-29,2019-07-29
5,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390180549,23843401146580549,2019-07-29,2019-07-29
2,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390060549,23843401146580549,2019-07-29,2019-07-29
5,[RU]_June,2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401165710549,23843401146580549,2019-07-29,2019-07-29
5,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390200549,23843401146580549,2019-07-29,2019-07-29
2,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390070549,23843401146580549,2019-07-29,2019-07-29
5,[UA]_June,2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176360549,23843401146580549,2019-07-29,2019-07-29
4,[KZ]_June,2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176370549,23843401146580549,2019-07-29,2019-07-29
3,[UA]_June,2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176430549,23843401146580549,2019-07-29,2019-07-29
3,[KZ]_June,2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176400549,23843401146580549,2019-07-29,2019-07-29
3,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390130549,23843401146580549,2019-07-29,2019-07-29
4,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390150549,23843401146580549,2019-07-29,2019-07-29
1,[RU]_June,2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401163330549,23843401146580549,2019-07-29,2019-07-29
3,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390090549,23843401146580549,2019-07-29,2019-07-29
2,"[RU]_June — Копия",2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390100549,23843401146580549,2019-07-29,2019-07-29
5,[KZ]_June,2019-07-29,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176350549,23843401146580549,2019-07-29,2019-07-29
2,"[RU]_June — Копия",2019-07-28,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390100549,23843401146580549,2019-07-28,2019-07-28
2,[KZ]_June,2019-07-28,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176410549,23843401146580549,2019-07-28,2019-07-28
4,[KZ]_June,2019-07-28,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176370549,23843401146580549,2019-07-28,2019-07-28
1,[UA]_June,2019-07-28,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401176450549,23843401146580549,2019-07-28,2019-07-28
2,"[RU]_June — Копия",2019-07-28,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390080549,23843401146580549,2019-07-28,2019-07-28
4,[RU]_June,2019-07-28,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843401165720549,23843401146580549,2019-07-28,2019-07-28
4,"[RU]_June — Копия",2019-07-28,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390160549,23843401146580549,2019-07-28,2019-07-28
1,"[RU]_June — Копия",2019-07-28,not_delivering,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843472390240549,23843401146580549,2019-07-28,2019-07-28
